date,FIDELITY HONG KONG EQUITY FUND (Class O),FIDELITY ASIA PACIFIC EQUITY FUND (Class O),FIDELITY GLOBAL EQUITY FUND (Class O),FIDELITY GROWTH FUND (Class O),FIDELITY BALANCED FUND (Class O),FIDELITY STABLE GROWTH FUND (Class O),FIDELITY CAPITAL STABLE FUND (Class O),FIDELITY HONG KONG BOND FUND (Class O),FIDELITY WORLD BOND FUND (Class O),FIDELITY US DOLLAR MONEY FUND (Class O),FIDELITY HK DOLLAR MONEY FUND (Class O),FAP FUND - TRACKER FUND PORTFOLIO (Class O),FAP FUND - INVESCO ASIAN EQUITY FUND (Class O),BLACKROCK GLOBAL ALLOCATION FUND (CLASS D2),BLACKROCK FIXED INCOME GLOBAL OPPORTUNITIES FUND (CLASS D2),BLACKROCK GLOBAL LONG-HORIZON EQUITY FUND (CLASS D2),BLACKROCK US FLEXIBLE EQUITY FUND (CLASS D2),BLACKROCK EUROPEAN FUND (CLASS D2),BLACKROCK ASIAN DRAGON FUND (CLASS D2),ALLIANCEBERNSTEIN- CHINA OPPORTUNITY PORTFOLIO (CLASS S1)
3/6/2019,250.96,27.94,29.46,50.25,46.31,46.62,35.66,74.06,16.76,16.92,68.41,22.28,22.56,60.29,14.75,60.07,37.47,136.03,43.82,67.78
4/6/2019,249.56,27.91,29.88,50.41,46.42,46.7,35.7,74,16.76,16.92,68.41,22.2,22.48,60.56,14.77,60.39,37.85,137.35,43.63,67.4
5/6/2019,250.6,27.96,30.13,50.78,46.7,46.92,35.82,73.88,16.8,16.92,68.41,22.36,22.64,61.02,14.78,61.2,38.36,138.63,43.85,67.75
6/6/2019,250.94,27.86,30.23,50.83,46.74,46.96,35.85,73.99,16.81,16.92,68.41,22.36,22.48,61,14.79,61.23,38.45,138.83,43.6,67.39
10/6/2019,256.48,28.3,30.7,51.7,47.37,47.42,36.06,73.93,16.83,16.92,68.47,22.89,22.51,,,,,,,
11/6/2019,258.91,28.6,30.69,51.95,47.55,47.54,36.11,73.81,16.83,16.92,68.47,23.05,23.02,61.8,14.84,62.99,39.39,142.38,44.93,70.32
12/6/2019,254.91,28.4,30.66,51.67,47.36,47.43,36.08,73.87,16.85,16.92,68.47,22.68,22.97,61.63,14.84,62.6,39.1,142.18,44.57,69.42
13/06/2019,254.73,28.26,30.69,51.58,47.29,47.38,36.05,74.04,16.84,16.92,68.47,22.68,22.75,61.67,14.84,62.58,39.24,142.17,44.29,69.43
14/06/2019,252.99,28.11,30.59,51.37,47.14,47.25,35.99,74.21,16.82,16.92,68.47,22.52,22.67,61.6,14.84,62.19,39.05,140.59,44,68.65
17/06/2019,253.32,28.01,30.62,51.34,47.12,47.24,35.98,74.15,16.82,16.94,68.47,22.64,22.61,61.58,14.85,62.24,39.15,140.87,43.72,68.56
18/06/2019,255.92,28.21,30.86,51.7,47.39,47.45,36.1,74.32,16.85,16.94,68.47,22.8,22.75,61.95,14.87,62.74,39.6,142.5,44.18,69.57
19/06/2019,262,28.72,31.04,52.37,47.88,47.82,36.28,74.26,16.88,16.94,68.47,23.38,23.27,62.06,14.89,62.88,39.53,142.7,45.04,70.66
20/06/2019,265.47,29.09,31.38,53.01,48.39,48.26,36.55,74.54,16.97,16.94,68.47,23.74,23.51,62.71,14.94,63.88,39.77,145.18,45.82,71.54
21/06/2019,264.94,29.02,31.3,52.86,48.28,48.17,36.5,74.43,16.96,16.94,68.47,23.66,23.62,62.55,14.95,63.57,39.77,144.18,45.77,71.65
24/06/2019,265.45,29.09,31.3,52.94,48.37,48.28,36.59,74.48,17.03,16.94,68.47,23.66,23.64,62.61,14.94,63.85,39.73,144.89,45.81,71.59
25/06/2019,263.36,28.97,31.11,52.73,48.23,48.2,36.58,74.59,17.06,16.94,68.47,23.41,23.54,62.61,14.96,63.81,39.51,145.43,45.69,70.96
26/06/2019,263.87,28.99,31.02,52.6,48.11,48.07,36.48,74.53,16.99,16.94,68.47,23.45,23.51,62.32,14.95,63.33,39.29,144.32,45.95,71.26
27/06/2019,267.34,29.26,31.12,52.95,48.37,48.27,36.58,74.47,17.02,16.94,68.47,23.82,23.78,62.42,14.95,63.6,39.34,143.26,46.38,72.29
28/06/2019,266.82,29.21,31.31,53.1,48.5,48.39,36.66,74.59,17.05,16.95,68.47,23.74,23.81,62.54,14.98,63.7,39.41,144.45,46.44,72.32
